Bank Name,City,ST,States,FailuresByStates
Washington Federal Bank for Savings,Chicago,IL,AL,7
The Farmers and Merchants State Bank of Argonia,Argonia,KS,AK,0
Fayette County Bank,Saint Elmo,IL,AZ,16
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,AR,4
First NBC Bank,New Orleans,LA,CA,41
Proficio Bank,Cottonwood Heights,UT,CO,10
Seaway Bank and Trust Company,Chicago,IL,CT,2
Harvest Community Bank,Pennsville,NJ,DE,0
Allied Bank,Mulberry,AR,FL,75
The Woodbury Banking Company,Woodbury,GA,GA,93
First CornerStone Bank,King of Prussia,PA,HI,0
Trust Company Bank,Memphis,TN,ID,2
North Milwaukee State Bank,Milwaukee,WI,IL,68
Hometown National Bank,Longview,WA,IN,3
The Bank of Georgia,Peachtree City,GA,IA,2
Premier Bank,Denver,CO,KS,10
Edgebrook Bank,Chicago,IL,KY,2
Doral Bank,San Juan,PR,LA,4
Capitol City Bank & Trust Company,Atlanta,GA,ME,0
Highland Community Bank,Chicago,IL,MD,10
First National Bank of Crestview,Crestview,FL,MA,1
Northern Star Bank,Mankato,MN,MI,14
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,MN,23
The National Republic Bank of Chicago,Chicago,IL,MS,2
NBRS Financial,Rising Sun,MD,MO,16
"GreenChoice Bank, fsb",Chicago,IL,MT,0
Eastside Commercial Bank,Conyers,GA,NE,3
The Freedom State Bank,Freedom,OK,NV,12
Valley Bank,Fort Lauderdale,FL,NH,1
Valley Bank,Moline,IL,NJ,7
Slavie Federal Savings Bank,Bel Air,MD,NM,3
Columbia Savings Bank,Cincinnati,OH,NY,5
AztecAmerica Bank ,Berwyn,IL,NC,7
Allendale County Bank,Fairfax,SC,ND,0
Vantage Point Bank,Horsham,PA,OH,8
"Millennium Bank, National Association",Sterling,VA,OK,7
Syringa Bank,Boise,ID,OR,6
The Bank of Union,El Reno,OK,PA,10
DuPage National Bank,West Chicago,IL,RI,0
"Texas Community Bank, National Association",The Woodlands,TX,SC,10
Bank of Jackson County,Graceville,FL,SD,1
First National Bank also operating as The National Bank of El Paso ,Edinburg,TX,TN,7
The Community's Bank,Bridgeport,CT,TX,12
Sunrise Bank of Arizona,Phoenix,AZ,UT,8
Community South Bank,Parsons,TN,VT,0
Bank of Wausau,Wausau,WI,VA,5
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,WA,19
Mountain National Bank,Sevierville,TN,WV,1
1st Commerce Bank,North Las Vegas,NV,WI,11
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,WY,1
Central Arizona Bank,Scottsdale,AZ,,
Sunrise Bank,Valdosta,GA,,
Pisgah Community Bank,Asheville,NC,,
Douglas County Bank,Douglasville,GA,,
Parkway Bank,Lenoir,NC,,
Chipola Community Bank,Marianna,FL,,
Heritage Bank of North Florida,Orange Park,FL,,
First Federal Bank,Lexington,KY,,
Gold Canyon Bank,Gold Canyon,AZ,,
Frontier Bank,LaGrange,GA,,
Covenant Bank,Chicago,IL,,
1st Regents Bank,Andover,MN,,
Westside Community Bank,University Place,WA,,
Community Bank of the Ozarks,Sunrise Beach,MO,,
Hometown Community Bank,Braselton,GA,,
Citizens First National Bank,Princeton,IL,,
Heritage Bank of Florida,Lutz,FL,,
NOVA Bank,Berwyn,PA,,
Excel Bank,Sedalia,MO,,
First East Side Savings Bank,Tamarac,FL,,
GulfSouth Private Bank,Destin,FL,,
First United Bank,Crete,IL,,
Truman Bank,St. Louis,MO,,
First Commercial Bank,Bloomington,MN,,
Waukegan Savings Bank,Waukegan,IL,,
Jasper Banking Company,Jasper,GA,,
Second Federal Savings and Loan Association of Chicago,Chicago,IL,,
Heartland Bank,Leawood,KS,,
First Cherokee State Bank,Woodstock,GA,,
Georgia Trust Bank,Buford,GA,,
The Royal Palm Bank of Florida,Naples,FL,,
Glasgow Savings Bank,Glasgow,MO,,
Montgomery Bank & Trust,Ailey,GA,,
The Farmers Bank of Lynchburg,Lynchburg,TN,,
Security Exchange Bank,Marietta,GA,,
Putnam State Bank,Palatka,FL,,
Waccamaw Bank,Whiteville,NC,,
Farmers' and Traders' State Bank,Shabbona,IL,,
Carolina Federal Savings Bank,Charleston,SC,,
First Capital Bank,Kingfisher,OK,,
"Alabama Trust Bank, National Association",Sylacauga,AL,,
"Security Bank, National Association",North Lauderdale,FL,,
Palm Desert National Bank,Palm Desert,CA,,
Plantation Federal Bank,Pawleys Island,SC,,
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,,
HarVest Bank of Maryland,Gaithersburg,MD,,
Bank of the Eastern Shore,Cambridge,MD,,
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,,
Fidelity Bank,Dearborn,MI,,
Premier Bank,Wilmette,IL,,
Covenant Bank & Trust,Rock Spring,GA,,
New City Bank,Chicago,IL,,
Global Commerce Bank,Doraville,GA,,
Home Savings of America,Little Falls,MN,,
Central Bank of Georgia,Ellaville,GA,,
SCB Bank,Shelbyville,IN,,
Charter National Bank and Trust,Hoffman Estates,IL,,
BankEast,Knoxville,TN,,
Patriot Bank Minnesota,Forest Lake,MN,,
Tennessee Commerce Bank,Franklin,TN,,
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,,
American Eagle Savings Bank,Boothwyn,PA,,
The First State Bank,Stockbridge,GA,,
Central Florida State Bank,Belleview,FL,,
Western National Bank,Phoenix,AZ,,
Premier Community Bank of the Emerald Coast,Crestview,FL,,
Central Progressive Bank,Lacombe,LA,,
Polk County Bank,Johnston,IA,,
Community Bank of Rockmart,Rockmart,GA,,
SunFirst Bank,Saint George,UT,,
"Mid City Bank, Inc.",Omaha,NE,,
All American Bank,Des Plaines,IL,,
Community Banks of Colorado,Greenwood Village,CO,,
Community Capital Bank,Jonesboro,GA,,
Decatur First Bank,Decatur,GA,,
Old Harbor Bank,Clearwater,FL,,
Country Bank,Aledo,IL,,
First State Bank,Cranford,NJ,,
"Blue Ridge Savings Bank, Inc.",Asheville,NC,,
Piedmont Community Bank,Gray,GA,,
Sun Security Bank,Ellington,MO,,
The RiverBank,Wyoming,MN,,
First International Bank,Plano,TX,,
Citizens Bank of Northern California,Nevada City,CA,,
Bank of the Commonwealth,Norfolk,VA,,
The First National Bank of Florida,Milton,FL,,
CreekSide Bank,Woodstock,GA,,
Patriot Bank of Georgia,Cumming,GA,,
First Choice Bank,Geneva,IL,,
First Southern National Bank,Statesboro,GA,,
Lydian Private Bank,Palm Beach,FL,,
Public Savings Bank,Huntingdon Valley,PA,,
The First National Bank of Olathe,Olathe,KS,,
Bank of Whitman,Colfax,WA,,
Bank of Shorewood,Shorewood,IL,,
Integra Bank National Association,Evansville,IN,,
"BankMeridian, N.A.",Columbia,SC,,
Virginia Business Bank,Richmond,VA,,
Bank of Choice,Greeley,CO,,
LandMark Bank of Florida,Sarasota,FL,,
Southshore Community Bank,Apollo Beach,FL,,
Summit Bank,Prescott,AZ,,
First Peoples Bank,Port St. Lucie,FL,,
High Trust Bank,Stockbridge,GA,,
One Georgia Bank,Atlanta,GA,,
Signature Bank,Windsor,CO,,
Colorado Capital Bank,Castle Rock,CO,,
First Chicago Bank & Trust,Chicago,IL,,
Mountain Heritage Bank,Clayton,GA,,
First Commercial Bank of Tampa Bay,Tampa,FL,,
McIntosh State Bank,Jackson,GA,,
Atlantic Bank and Trust,Charleston,SC,,
First Heritage Bank,Snohomish,WA,,
Summit Bank,Burlington,WA,,
First Georgia Banking Company,Franklin,GA,,
Atlantic Southern Bank,Macon,GA,,
Coastal Bank,Cocoa Beach,FL,,
Community Central Bank,Mount Clemens,MI,,
The Park Avenue Bank,Valdosta,GA,,
First Choice Community Bank,Dallas,GA,,
Cortez Community Bank,Brooksville,FL,,
First National Bank of Central Florida,Winter Park,FL,,
Heritage Banking Group,Carthage,MS,,
Rosemount National Bank,Rosemount,MN,,
Superior Bank,Birmingham,AL,,
Nexity Bank,Birmingham,AL,,
New Horizons Bank,East Ellijay,GA,,
Bartow County Bank,Cartersville,GA,,
Nevada Commerce Bank,Las Vegas,NV,,
Western Springs National Bank and Trust,Western Springs,IL,,
The Bank of Commerce,Wood Dale,IL,,
Legacy Bank,Milwaukee,WI,,
First National Bank of Davis,Davis,OK,,
Valley Community Bank,St. Charles,IL,,
"San Luis Trust Bank, FSB",San Luis Obispo,CA,,
Charter Oak Bank,Napa,CA,,
Citizens Bank of Effingham,Springfield,GA,,
Habersham Bank,Clarkesville,GA,,
Canyon National Bank,Palm Springs,CA,,
Badger State Bank,Cassville,WI,,
Peoples State Bank,Hamtramck,MI,,
Sunshine State Community Bank,Port Orange,FL,,
Community First Bank Chicago,Chicago,IL,,
North Georgia Bank,Watkinsville,GA,,
American Trust Bank,Roswell,GA,,
First Community Bank,Taos,NM,,
FirsTier Bank,Louisville,CO,,
Evergreen State Bank,Stoughton,WI,,
The First State Bank,Camargo,OK,,
United Western Bank,Denver,CO,,
The Bank of Asheville,Asheville,NC,,
CommunitySouth Bank & Trust,Easley,SC,,
Enterprise Banking Company,McDonough,GA,,
Oglethorpe Bank,Brunswick,GA,,
Legacy Bank,Scottsdale,AZ,,
First Commercial Bank of Florida,Orlando,FL,,
Community National Bank,Lino Lakes,MN,,
First Southern Bank,Batesville,AR,,
"United Americas Bank, N.A.",Atlanta,GA,,
"Appalachian Community Bank, FSB",McCaysville,GA,,
Chestatee State Bank,Dawsonville,GA,,
"The Bank of Miami,N.A.",Coral Gables,FL,,
Earthstar Bank,Southampton,PA,,
Paramount Bank,Farmington Hills,MI,,
First Banking Center,Burlington,WI,,
Allegiance Bank of North America,Bala Cynwyd,PA,,
Gulf State Community Bank,Carrabelle,FL,,
Copper Star Bank,Scottsdale,AZ,,
Darby Bank & Trust Co.,Vidalia,GA,,
Tifton Banking Company,Tifton,GA,,
First Vietnamese American Bank,Westminster,CA,,
Pierce Commercial Bank,Tacoma,WA,,
Western Commercial Bank,Woodland Hills,CA,,
K Bank,Randallstown,MD,,
"First Arizona Savings, A FSB",Scottsdale,AZ,,
Hillcrest Bank,Overland Park,KS,,
First Suburban National Bank,Maywood,IL,,
The First National Bank of Barnesville,Barnesville,GA,,
The Gordon Bank,Gordon,GA,,
Progress Bank of Florida,Tampa,FL,,
First Bank of Jacksonville,Jacksonville,FL,,
Premier Bank,Jefferson City,MO,,
WestBridge Bank and Trust Company,Chesterfield,MO,,
"Security Savings Bank, F.S.B.",Olathe,KS,,
Shoreline Bank,Shoreline,WA,,
Wakulla Bank,Crawfordville,FL,,
North County Bank,Arlington,WA,,
Haven Trust Bank Florida,Ponte Vedra Beach,FL,,
Maritime Savings Bank,West Allis,WI,,
Bramble Savings Bank,Milford,OH,,
The Peoples Bank,Winder,GA,,
First Commerce Community Bank,Douglasville,GA,,
Bank of Ellijay,Ellijay,GA,,
ISN Bank,Cherry Hill,NJ,,
Horizon Bank,Bradenton,FL,,
Sonoma Valley Bank,Sonoma,CA,,
Los Padres Bank,Solvang,CA,,
Butte Community Bank,Chico,CA,,
Pacific State Bank,Stockton,CA,,
ShoreBank,Chicago,IL,,
Imperial Savings and Loan Association,Martinsville,VA,,
Independent National Bank,Ocala,FL,,
Community National Bank at Bartow,Bartow,FL,,
Palos Bank and Trust Company,Palos Heights,IL,,
Ravenswood Bank,Chicago,IL,,
LibertyBank,Eugene,OR,,
The Cowlitz Bank,Longview,WA,,
Coastal Community Bank,Panama City Beach,FL,,
Bayside Savings Bank,Port Saint Joe,FL,,
Northwest Bank & Trust,Acworth,GA,,
Home Valley Bank,Cave Junction,OR,,
SouthwestUSA Bank,Las Vegas,NV,,
Community Security Bank,New Prague,MN,,
Thunder Bank,Sylvan Grove,KS,,
Williamsburg First National Bank,Kingstree,SC,,
Crescent Bank and Trust Company,Jasper,GA,,
Sterling Bank,Lantana,FL,,
"Mainstreet Savings Bank, FSB",Hastings,MI,,
Olde Cypress Community Bank,Clewiston,FL,,
Turnberry Bank,Aventura,FL,,
Metro Bank of Dade County,Miami,FL,,
First National Bank of the South,Spartanburg,SC,,
Woodlands Bank,Bluffton,SC,,
Home National Bank,Blackwell,OK,,
USA Bank,Port Chester,NY,,
Ideal Federal Savings Bank,Baltimore,MD,,
Bay National Bank,Baltimore,MD,,
High Desert State Bank,Albuquerque,NM,,
First National Bank,Savannah,GA,,
Peninsula Bank,Englewood,FL,,
Nevada Security Bank,Reno,NV,,
Washington First International Bank,Seattle,WA,,
TierOne Bank,Lincoln,NE,,
Arcola Homestead Savings Bank,Arcola,IL,,
First National Bank,Rosedale,MS,,
Sun West Bank,Las Vegas,NV,,
"Granite Community Bank, NA",Granite Bay,CA,,
Bank of Florida - Tampa,Tampa,FL,,
Bank of Florida - Southwest,Naples,FL,,
Bank of Florida - Southeast,Fort Lauderdale,FL,,
Pinehurst Bank,Saint Paul,MN,,
Midwest Bank and Trust Company,Elmwood Park,IL,,
Southwest Community Bank,Springfield,MO,,
New Liberty Bank,Plymouth,MI,,
Satilla Community Bank,Saint Marys,GA,,
1st Pacific Bank of California,San Diego,CA,,
Towne Bank of Arizona,Mesa,AZ,,
Access Bank,Champlin,MN,,
The Bank of Bonifay,Bonifay,FL,,
Frontier Bank,Everett,WA,,
BC National Banks,Butler,MO,,
Champion Bank,Creve Coeur,MO,,
CF Bancorp,Port Huron,MI,,
Westernbank Puerto Rico,Mayaguez,PR,,
R-G Premier Bank of Puerto Rico,Hato Rey,PR,,
Eurobank,San Juan,PR,,
Wheatland Bank,Naperville,IL,,
Peotone Bank and Trust Company,Peotone,IL,,
Lincoln Park Savings Bank,Chicago,IL,,
New Century Bank,Chicago,IL,,
Citizens Bank and Trust Company of Chicago,Chicago,IL,,
Broadway Bank,Chicago,IL,,
"Amcore Bank, National Association",Rockford,IL,,
City Bank,Lynnwood,WA,,
Tamalpais Bank,San Rafael,CA,,
Innovative Bank,Oakland,CA,,
Butler Bank,Lowell,MA,,
Riverside National Bank of Florida,Fort Pierce,FL,,
AmericanFirst Bank,Clermont,FL,,
First Federal Bank of North Florida,Palatka,FL,,
Lakeside Community Bank,Sterling Heights,MI,,
Beach First National Bank,Myrtle Beach,SC,,
Desert Hills Bank,Phoenix,AZ,,
Unity National Bank,Cartersville,GA,,
Key West Bank,Key West,FL,,
McIntosh Commercial Bank,Carrollton,GA,,
State Bank of Aurora,Aurora,MN,,
First Lowndes Bank,Fort Deposit,AL,,
Bank of Hiawassee,Hiawassee,GA,,
Appalachian Community Bank,Ellijay,GA,,
Advanta Bank Corp.,Draper,UT,,
Century Security Bank,Duluth,GA,,
American National Bank,Parma,OH,,
Statewide Bank,Covington,LA,,
Old Southern Bank,Orlando,FL,,
The Park Avenue Bank,New York,NY,,
LibertyPointe Bank,New York,NY,,
Centennial Bank,Ogden,UT,,
Waterfield Bank,Germantown,MD,,
Bank of Illinois,Normal,IL,,
Sun American Bank,Boca Raton,FL,,
Rainier Pacific Bank,Tacoma,WA,,
Carson River Community Bank,Carson City,NV,,
"La Jolla Bank, FSB",La Jolla,CA,,
George Washington Savings Bank,Orland Park,IL,,
The La Coste National Bank,La Coste,TX,,
Marco Community Bank,Marco Island,FL,,
1st American State Bank of Minnesota,Hancock,MN,,
American Marine Bank,Bainbridge Island,WA,,
First Regional Bank,Los Angeles,CA,,
Community Bank and Trust,Cornelia,GA,,
"Marshall Bank, N.A.",Hallock,MN,,
Florida Community Bank,Immokalee,FL,,
First National Bank of Georgia,Carrollton,GA,,
Columbia River Bank,The Dalles,OR,,
Evergreen Bank,Seattle,WA,,
Charter Bank,Santa Fe,NM,,
Bank of Leeton,Leeton,MO,,
Premier American Bank,Miami,FL,,
Barnes Banking Company,Kaysville,UT,,
St. Stephen State Bank,St. Stephen,MN,,
Town Community Bank & Trust,Antioch,IL,,
Horizon Bank,Bellingham,WA,,
"First Federal Bank of California, F.S.B.",Santa Monica,CA,,
Imperial Capital Bank,La Jolla,CA,,
Independent Bankers' Bank,Springfield,IL,,
New South Federal Savings Bank,Irondale,AL,,
Citizens State Bank,New Baltimore,MI,,
Peoples First Community Bank,Panama City,FL,,
RockBridge Commercial Bank,Atlanta,GA,,
SolutionsBank,Overland Park,KS,,
"Valley Capital Bank, N.A.",Mesa,AZ,,
"Republic Federal Bank, N.A.",Miami,FL,,
Greater Atlantic Bank,Reston,VA,,
Benchmark Bank,Aurora,IL,,
AmTrust Bank,Cleveland,OH,,
The Tattnall Bank,Reidsville,GA,,
First Security National Bank,Norcross,GA,,
The Buckhead Community Bank,Atlanta,GA,,
Commerce Bank of Southwest Florida,Fort Myers,FL,,
Pacific Coast National Bank,San Clemente,CA,,
Orion Bank,Naples,FL,,
"Century Bank, F.S.B.",Sarasota,FL,,
United Commercial Bank,San Francisco,CA,,
Gateway Bank of St. Louis,St. Louis,MO,,
Prosperan Bank,Oakdale,MN,,
Home Federal Savings Bank,Detroit,MI,,
United Security Bank,Sparta,GA,,
North Houston Bank,Houston,TX,,
Madisonville State Bank,Madisonville,TX,,
Citizens National Bank,Teague,TX,,
Park National Bank,Chicago,IL,,
Pacific National Bank,San Francisco,CA,,
California National Bank,Los Angeles,CA,,
San Diego National Bank,San Diego,CA,,
Community Bank of Lemont,Lemont,IL,,
"Bank USA, N.A.",Phoenix,AZ,,
First DuPage Bank,Westmont,IL,,
Riverview Community Bank,Otsego,MN,,
Bank of Elmwood,Racine,WI,,
Flagship National Bank,Bradenton,FL,,
Hillcrest Bank Florida,Naples,FL,,
American United Bank,Lawrenceville,GA,,
Partners Bank,Naples,FL,,
San Joaquin Bank,Bakersfield,CA,,
Southern Colorado National Bank,Pueblo,CO,,
Jennings State Bank,Spring Grove,MN,,
Warren Bank,Warren,MI,,
Georgian Bank,Atlanta,GA,,
"Irwin Union Bank, F.S.B.",Louisville,KY,,
Irwin Union Bank and Trust Company,Columbus,IN,,
Venture Bank,Lacey,WA,,
Brickwell Community Bank,Woodbury,MN,,
"Corus Bank, N.A.",Chicago,IL,,
First State Bank,Flagstaff,AZ,,
Platinum Community Bank,Rolling Meadows,IL,,
Vantus Bank,Sioux City,IA,,
InBank,Oak Forest,IL,,
First Bank of Kansas City,Kansas City,MO,,
Affinity Bank,Ventura,CA,,
Mainstreet Bank,Forest Lake,MN,,
Bradford Bank,Baltimore,MD,,
Guaranty Bank,Austin,TX,,
CapitalSouth Bank,Birmingham,AL,,
First Coweta Bank,Newnan,GA,,
ebank,Atlanta,GA,,
Community Bank of Nevada,Las Vegas,NV,,
Community Bank of Arizona,Phoenix,AZ,,
"Union Bank, National Association",Gilbert,AZ,,
Colonial Bank,Montgomery,AL,,
Dwelling House Savings and Loan Association,Pittsburgh,PA,,
Community First Bank,Prineville,OR,,
Community National Bank of Sarasota County,Venice,FL,,
First State Bank,Sarasota,FL,,
Mutual Bank,Harvey,IL,,
First BankAmericano,Elizabeth,NJ,,
Peoples Community Bank,West Chester,OH,,
Integrity Bank,Jupiter,FL,,
First State Bank of Altus,Altus,OK,,
Security Bank of Jones County,Gray,GA,,
Security Bank of Houston County,Perry,GA,,
Security Bank of Bibb County,Macon,GA,,
Security Bank of North Metro,Woodstock,GA,,
Security Bank of North Fulton,Alpharetta,GA,,
Security Bank of Gwinnett County,Suwanee,GA,,
Waterford Village Bank,Williamsville,NY,,
Temecula Valley Bank,Temecula,CA,,
Vineyard Bank,Rancho Cucamonga,CA,,
BankFirst,Sioux Falls,SD,,
First Piedmont Bank,Winder,GA,,
Bank of Wyoming,Thermopolis,WY,,
Founders Bank,Worth,IL,,
Millennium State Bank of Texas,Dallas,TX,,
First National Bank of Danville,Danville,IL,,
The Elizabeth State Bank,Elizabeth,IL,,
Rock River Bank,Oregon,IL,,
First State Bank of Winchester,Winchester,IL,,
John Warner Bank,Clinton,IL,,
Mirae Bank,Los Angeles,CA,,
MetroPacific Bank,Irvine,CA,,
Horizon Bank,Pine City,MN,,
Neighborhood Community Bank,Newnan,GA,,
Community Bank of West Georgia,Villa Rica,GA,,
First National Bank of Anthony,Anthony,KS,,
Cooperative Bank,Wilmington,NC,,
Southern Community Bank,Fayetteville,GA,,
Bank of Lincolnwood,Lincolnwood,IL,,
Citizens National Bank,Macomb,IL,,
Strategic Capital Bank,Champaign,IL,,
"BankUnited, FSB",Coral Gables,FL,,
Westsound Bank,Bremerton,WA,,
America West Bank,Layton,UT,,
Citizens Community Bank,Ridgewood,NJ,,
"Silverton Bank, NA",Atlanta,GA,,
First Bank of Idaho,Ketchum,ID,,
First Bank of Beverly Hills,Calabasas,CA,,
Michigan Heritage Bank,Farmington Hills,MI,,
American Southern Bank,Kennesaw,GA,,
Great Basin Bank of Nevada,Elko,NV,,
American Sterling Bank,Sugar Creek,MO,,
New Frontier Bank,Greeley,CO,,
Cape Fear Bank,Wilmington,NC,,
Omni National Bank,Atlanta,GA,,
"TeamBank, NA",Paola,KS,,
Colorado National Bank,Colorado Springs,CO,,
FirstCity Bank,Stockbridge,GA,,
Freedom Bank of Georgia,Commerce,GA,,
Security Savings Bank,Henderson,NV,,
Heritage Community Bank,Glenwood,IL,,
Silver Falls Bank,Silverton,OR,,
Pinnacle Bank of Oregon,Beaverton,OR,,
Corn Belt Bank & Trust Co.,Pittsfield,IL,,
Riverside Bank of the Gulf Coast,Cape Coral,FL,,
Sherman County Bank,Loup City,NE,,
County Bank,Merced,CA,,
Alliance Bank,Culver City,CA,,
FirstBank Financial Services,McDonough,GA,,
Ocala National Bank,Ocala,FL,,
Suburban FSB,Crofton,MD,,
MagnetBank,Salt Lake City,UT,,
1st Centennial Bank,Redlands,CA,,
Bank of Clark County,Vancouver,WA,,
National Bank of Commerce,Berkeley,IL,,
Sanderson State Bank,Sanderson,TX,,
Haven Trust Bank,Duluth,GA,,
First Georgia Community Bank,Jackson,GA,,
PFF Bank & Trust,Pomona,CA,,
Downey Savings & Loan,Newport Beach,CA,,
Community Bank,Loganville,GA,,
Security Pacific Bank,Los Angeles,CA,,
"Franklin Bank, SSB",Houston,TX,,
Freedom Bank,Bradenton,FL,,
Alpha Bank & Trust,Alpharetta,GA,,
Meridian Bank,Eldred,IL,,
Main Street Bank,Northville,MI,,
"Washington Mutual Bank, (Including its subsidiary Washington Mutual Bank FSB)",Henderson,NV,,
Ameribank,Northfork,WV,,
Silver State Bank,Henderson,NV,,
Integrity Bank,Alpharetta,GA,,
Columbian Bank & Trust,Topeka,KS,,
First Priority Bank,Bradenton,FL,,
"First Heritage Bank, NA",Newport Beach,CA,,
First National Bank of Nevada,Reno,NV,,
IndyMac Bank,Pasadena,CA,,
"First Integrity Bank, NA",Staples,MN,,
"ANB Financial, NA",Bentonville,AR,,
Hume Bank,Hume,MO,,
Douglass National Bank,Kansas City,MO,,
Miami Valley Bank,Lakeview,OH,,
NetBank,Alpharetta,GA,,
Metropolitan Savings Bank,Pittsburgh,PA,,
Bank of Ephraim,Ephraim,UT,,
Reliance Bank,White Plains,NY,,
Guaranty National Bank of Tallahassee,Tallahassee,FL,,
Dollar Savings Bank,Newark,NJ,,
Pulaski Savings Bank,Philadelphia,PA,,
First National Bank of Blanchardville,Blanchardville,WI,,
Southern Pacific Bank,Torrance,CA,,
Farmers Bank of Cheneyville,Cheneyville,LA,,
Bank of Alamo,Alamo,TN,,
AmTrade International Bank,Atlanta,GA,,
Universal Federal Savings Bank,Chicago,IL,,
Connecticut Bank of Commerce,Stamford,CT,,
New Century Bank,Shelby Township,MI,,
Net 1st National Bank,Boca Raton,FL,,
"NextBank, NA",Phoenix,AZ,,
Oakwood Deposit Bank Co.,Oakwood,OH,,
Bank of Sierra Blanca,Sierra Blanca,TX,,
"Hamilton Bank, NA",Miami,FL,,
Sinclair National Bank,Gravette,AR,,
"Superior Bank, FSB",Hinsdale,IL,,
Malta National Bank,Malta,OH,,
First Alliance Bank & Trust Co.,Manchester,NH,,
National State Bank of Metropolis,Metropolis,IL,,
Bank of Honolulu,Honolulu,HI,,
